x y_gt y_pr
132.4 7.074 7.066
132.9 7.07 7.066
133.4 7.066 7.066
133.9 7.047 7.066
134.4 7.07 7.066
134.9 7.055 7.066
135.4 7.04 7.066
135.9 7.055 7.066
136.4 7.06 7.066
136.9 7.03 7.066
137.4 7.043 7.066
137.9 7.05 7.066
138.4 7.027 7.066
138.9 7.047 7.066
139.4 7.07 7.066
139.9 7.04 7.066
140.4 7.047 7.066
140.9 7.05 7.066
141.4 7.035 7.066
141.9 7.05 7.066
142.4 7.04 7.066
142.9 7.03 7.066
143.4 7.035 7.066
143.9 7.062 7.066
144.4 7.04 7.066
144.9 7.016 7.066
145.4 7.05 7.066
145.9 7.043 7.066
146.4 7.004 7.066
146.9 7.02 7.066
147.4 7.03 7.066
147.9 7.027 7.066
148.4 7.02 7.066
148.9 7.027 7.066
149.4 6.996 7.066
149.9 7.004 7.066
150.4 7.04 7.066
150.9 7.03 7.066
151.4 7.008 7.066
151.9 7.004 7.066
152.4 7.02 7.066
152.9 7.004 7.066
153.4 7.023 7.066
153.9 7.02 7.066
154.4 7.0 7.066
154.9 7.016 7.066
155.4 7.01 7.066
155.9 6.996 7.066
156.4 7.008 7.066
156.9 7.016 7.066
157.4 7.016 7.066
157.9 6.992 7.066
158.4 7.01 7.066
158.9 7.023 7.066
159.4 6.99 7.066
159.9 6.992 7.066
160.4 7.01 7.066
160.9 7.0 7.066
161.4 6.98 7.066
161.9 7.008 7.066
162.4 7.004 7.066
162.9 6.984 7.066
163.4 7.004 7.066
163.9 7.008 7.066
164.4 6.957 7.066
164.9 7.008 7.066
165.4 7.01 7.066
165.9 7.0 7.066
166.4 6.965 7.066
166.9 7.0 7.066
167.4 6.99 7.066
167.9 6.977 7.066
168.4 7.008 7.066
168.9 6.973 7.066
169.4 6.973 7.066
169.9 7.004 7.066
170.4 7.0 7.066
170.9 6.957 7.066
171.4 6.996 7.066
171.9 7.0 7.066
172.4 6.97 7.066
172.9 6.977 7.066
173.4 6.973 7.066
173.9 6.992 7.066
174.4 6.95 7.066
174.9 6.992 7.066
175.4 6.97 7.066
175.9 6.945 7.066
176.4 6.984 7.066
176.9 6.99 7.066
177.4 6.96 7.066
177.9 6.977 7.066
178.4 6.98 7.066
178.9 6.953 7.066
179.4 6.977 7.066
179.9 6.98 7.066
180.4 6.965 7.066
180.9 6.953 7.066
181.4 6.98 7.066
181.9 6.957 7.066
182.4 6.957 7.066
182.9 6.973 7.066
183.4 6.99 7.066
183.9 6.94 7.066
184.4 6.96 7.066
184.9 6.98 7.066
185.4 6.96 7.066
