Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0000","1.1662"
"0.0100","0.0000","0.6850"
"0.0200","0.0000","0.1284"
"0.0300","0.0000","-0.1904"
"0.0400","0.0001","0.3286"
"0.0500","0.0001","1.1443"
"0.0600","0.0002","1.3930"
"0.0700","0.0003","1.3624"
"0.0800","0.0005","1.4952"
"0.0900","0.0009","1.4590"
"0.1000","0.0013","0.9970"
"0.1100","0.0018","0.4698"
"0.1200","0.0024","0.4609"
"0.1300","0.0030","0.1591"
"0.1400","0.0033","0.2657"
"0.1500","0.0035","0.9083"
"0.1600","0.0036","1.4675"
"0.1700","0.0036","2.2614"
"0.1800","0.0037","2.0507"
"0.1900","0.0038","1.2230"
"0.2000","0.0040","0.7128"
"0.2100","0.0044","1.2644"
"0.2200","0.0050","1.6955"
"0.2300","0.0059","1.7913"
"0.2400","0.0073","1.9456"
"0.2500","0.0089","2.5519"
"0.2600","0.0107","2.7789"
"0.2700","0.0125","2.3092"
"0.2800","0.0143","1.9536"
"0.2900","0.0159","2.1253"
"0.3000","0.0175","2.4412"
"0.3100","0.0189","2.1297"
"0.3200","0.0202","1.9457"
"0.3300","0.0215","2.1945"
"0.3400","0.0227","2.5832"
"0.3500","0.0238","2.6427"
"0.3600","0.0250","3.0619"
"0.3700","0.0261","3.6054"
"0.3800","0.0273","4.0648"
"0.3900","0.0284","4.0603"
"0.4000","0.0296","3.8187"
"0.4100","0.0308","3.5546"
"0.4200","0.0320","3.5601"
"0.4300","0.0331","3.5201"
"0.4400","0.0342","3.3356"
"0.4500","0.0353","3.4661"
"0.4600","0.0363","3.7473"
"0.4700","0.0374","3.8420"
"0.4800","0.0383","3.9656"
"0.4900","0.0393","4.6604"
"0.5000","0.0402","5.3866"
"0.5100","0.0411","5.2664"
"0.5200","0.0420","4.3598"
"0.5300","0.0429","3.9830"
"0.5400","0.0437","4.2766"
"0.5500","0.0446","4.6533"
"0.5600","0.0454","4.6903"
"0.5700","0.0462","4.7997"
"0.5800","0.0471","5.2901"
"0.5900","0.0480","5.8605"
"0.6000","0.0489","6.0045"
"0.6100","0.0499","5.6494"
"0.6200","0.0509","5.4693"
"0.6300","0.0520","5.3707"
"0.6400","0.0532","5.3745"
"0.6500","0.0544","5.1646"
"0.6600","0.0556","5.3268"
"0.6700","0.0568","5.8723"
"0.6800","0.0580","6.3310"
"0.6900","0.0592","6.1485"
"0.7000","0.0603","5.9246"
"0.7100","0.0615","6.0768"
"0.7200","0.0625","6.3142"
"0.7300","0.0636","6.2568"
"0.7400","0.0646","6.1336"
"0.7500","0.0655","6.3333"
"0.7600","0.0665","6.5995"
"0.7700","0.0674","6.6041"
"0.7800","0.0683","6.4874"
"0.7900","0.0692","6.7887"
"0.8000","0.0702","6.9414"
"0.8100","0.0711","6.8302"
"0.8200","0.0720","7.0232"
"0.8300","0.0729","7.5804"
"0.8400","0.0739","7.5244"
"0.8500","0.0748","7.1771"
"0.8600","0.0758","7.1242"
"0.8700","0.0767","7.1367"
"0.8800","0.0776","7.1106"
"0.8900","0.0786","6.9621"
"0.9000","0.0795","7.2232"
"0.9100","0.0804","7.8570"
"0.9200","0.0813","8.5132"
"0.9300","0.0823","8.6707"
"0.9400","0.0834","8.4806"
"0.9500","0.0845","8.2099"
"0.9600","0.0857","8.0660"
"0.9700","0.0868","7.6864"
"0.9800","0.0880","7.4468"
"0.9900","0.0891","7.7883"
"1.0000","0.0902","8.4455"
"1.0100","0.0912","8.8101"
"1.0200","0.0922","8.8014"
"1.0300","0.0932","8.6455"
"1.0400","0.0942","8.8619"
"1.0500","0.0952","9.1865"
"1.0600","0.0962","9.1412"
"1.0700","0.0972","8.8952"
"1.0800","0.0982","8.7727"
"1.0900","0.0992","8.8678"
