Time,Displacement,Force
(s),(mm),(mN)
"1.8600","0.1764","16.2081"
"1.8700","0.1773","15.9333"
"1.8800","0.1781","15.4535"
"1.8900","0.1790","15.2050"
"1.9000","0.1800","15.5620"
"1.9100","0.1809","16.2554"
"1.9200","0.1819","16.6323"
"1.9300","0.1828","16.3693"
"1.9400","0.1838","16.2952"
"1.9500","0.1848","16.7838"
"1.9600","0.1858","17.4020"
"1.9700","0.1868","17.4910"
"1.9800","0.1879","17.0647"
"1.9900","0.1889","16.7420"
"2.0000","0.1900","16.5219"
"2.0100","0.1911","16.3775"
"2.0200","0.1923","16.6690"
"2.0300","0.1934","17.5337"
"2.0400","0.1946","17.9425"
"2.0500","0.1957","17.9909"
"2.0600","0.1969","17.9237"
"2.0700","0.1980","17.9156"
"2.0800","0.1990","17.6631"
"2.0900","0.2000","17.5073"
"2.1000","0.2010","17.6658"
"2.1100","0.2019","17.6344"
"2.1200","0.2029","17.4172"
"2.1300","0.2038","17.3531"
"2.1400","0.2047","17.8864"
"2.1500","0.2056","18.5585"
"2.1600","0.2064","18.8304"
"2.1700","0.2073","18.6327"
"2.1800","0.2082","18.4683"
"2.1900","0.2091","18.2923"
"2.2000","0.2100","18.2763"
"2.2100","0.2109","18.1385"
"2.2200","0.2119","18.0065"
"2.2300","0.2128","18.2266"
"2.2400","0.2137","18.8155"
"2.2500","0.2147","19.3650"
"2.2600","0.2157","19.7017"
"2.2700","0.2168","19.8065"
"2.2800","0.2179","19.7143"
"2.2900","0.2190","19.6653"
"2.3000","0.2201","19.2496"
"2.3100","0.2213","18.8290"
"2.3200","0.2225","18.7443"
"2.3300","0.2237","19.1992"
"2.3400","0.2249","19.6189"
"2.3500","0.2261","19.7580"
"2.3600","0.2272","19.6842"
"2.3700","0.2282","19.9297"
"2.3800","0.2291","20.3552"
"2.3900","0.2300","20.5618"
"2.4000","0.2309","20.5252"
"2.4100","0.2318","20.0093"
"2.4200","0.2327","19.7706"
"2.4300","0.2336","19.8434"
"2.4400","0.2346","19.8871"
"2.4500","0.2355","19.5810"
"2.4600","0.2364","19.9749"
"2.4700","0.2373","20.9441"
"2.4800","0.2382","21.7307"
"2.4900","0.2391","21.7552"
"2.5000","0.2400","21.5731"
"2.5100","0.2409","21.3767"
"2.5200","0.2418","20.8899"
"2.5300","0.2427","20.2053"
"2.5400","0.2437","20.1352"
"2.5500","0.2447","20.5445"
"2.5600","0.2458","20.9278"
"2.5700","0.2469","21.3305"
"2.5800","0.2480","21.9993"
"2.5900","0.2491","22.6303"
"2.6000","0.2503","22.9147"
"2.6100","0.2514","22.7578"
"2.6200","0.2525","21.7927"
"2.6300","0.2536","20.8024"
"2.6400","0.2547","20.4419"
"2.6500","0.2557","20.9922"
"2.6600","0.2568","21.8006"
"2.6700","0.2578","22.6271"
"2.6800","0.2588","23.0628"
"2.6900","0.2598","22.9882"
"2.7000","0.2609","22.7378"
"2.7100","0.2619","22.8485"
"2.7200","0.2628","23.0191"
"2.7300","0.2638","22.6243"
"2.7400","0.2647","22.3355"
"2.7500","0.2657","22.3113"
"2.7600","0.2666","22.3545"
"2.7700","0.2675","22.3678"
"2.7800","0.2685","22.9682"
"2.7900","0.2695","23.6338"
"2.8000","0.2705","24.1249"
"2.8100","0.2715","23.9750"
"2.8200","0.2725","23.4100"
"2.8300","0.2735","22.9285"
"2.8400","0.2745","23.0445"
"2.8500","0.2754","23.4817"
"2.8600","0.2764","23.4814"
"2.8700","0.2774","23.3189"
"2.8800","0.2784","23.3129"
"2.8900","0.2795","23.8922"
"2.9000","0.2805","24.3299"
"2.9100","0.2815","24.6624"
"2.9200","0.2825","24.7213"
"2.9300","0.2835","24.7127"
"2.9400","0.2844","24.3990"
"2.9500","0.2854","24.0226"
"2.9600","0.2863","23.6506"
"2.9700","0.2873","23.8096"
"2.9800","0.2883","24.5769"
"2.9900","0.2893","25.2102"
"3.0000","0.2903","25.2951"
"3.0100","0.2913","25.0028"
"3.0200","0.2923","25.0365"
"3.0300","0.2934","25.4217"
