Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0000","0.4563"
"0.0100","0.0000","-0.3454"
"0.0200","0.0000","-1.0595"
"0.0300","0.0000","-0.8206"
"0.0400","0.0001","-0.0886"
"0.0500","0.0001","0.4533"
"0.0600","0.0002","0.4901"
"0.0700","0.0003","0.4324"
"0.0800","0.0004","0.3552"
"0.0900","0.0006","0.6512"
"0.1000","0.0008","1.1901"
"0.1050","0.0009","-0.0468"
"0.1150","0.0010","-0.2176"
"0.1250","0.0010","-0.4807"
"0.1350","0.0010","-0.9151"
"0.1450","0.0010","-0.9225"
"0.1550","0.0010","-0.6036"
"0.1650","0.0011","0.5615"
"0.1750","0.0012","1.5272"
"0.1850","0.0014","1.9416"
"0.1950","0.0016","1.6659"
"0.2050","0.0020","1.5677"
"0.2150","0.0028","1.4234"
"0.2250","0.0041","1.2431"
"0.2350","0.0059","0.9206"
"0.2450","0.0080","0.9062"
"0.2550","0.0103","0.8628"
"0.2650","0.0124","1.2344"
"0.2750","0.0143","1.7231"
"0.2850","0.0159","2.1176"
"0.2950","0.0173","2.5147"
"0.3050","0.0186","2.9482"
"0.3150","0.0198","3.0593"
"0.3250","0.0209","2.9892"
"0.3350","0.0220","2.5110"
"0.3450","0.0232","1.9065"
"0.3550","0.0243","1.7632"
"0.3650","0.0254","2.4715"
"0.3750","0.0265","3.2745"
"0.3850","0.0276","4.0200"
"0.3950","0.0288","4.4005"
"0.4050","0.0300","4.5893"
"0.4150","0.0312","4.4317"
"0.4250","0.0323","4.1529"
"0.4350","0.0335","3.9954"
"0.4450","0.0346","3.9037"
"0.4550","0.0356","3.9189"
"0.4650","0.0366","3.7601"
"0.4750","0.0376","3.7226"
"0.4850","0.0386","4.0004"
"0.4950","0.0396","4.9572"
"0.5050","0.0405","5.9155"
"0.5150","0.0414","6.1872"
"0.5250","0.0424","5.5862"
"0.5350","0.0433","5.0466"
"0.5450","0.0442","4.8465"
"0.5550","0.0451","5.0161"
"0.5650","0.0460","5.2379"
"0.5750","0.0468","5.5971"
"0.5850","0.0477","5.8766"
"0.5950","0.0486","6.2133"
"0.6050","0.0496","6.0184"
"0.6150","0.0506","5.8066"
"0.6250","0.0516","6.0942"
"0.6350","0.0527","6.8286"
"0.6450","0.0538","7.2324"
"0.6550","0.0549","6.4815"
"0.6650","0.0560","5.7422"
"0.6750","0.0571","5.8685"
"0.6850","0.0582","6.6494"
"0.6950","0.0593","6.9032"
"0.7050","0.0604","7.1369"
"0.7150","0.0615","7.5589"
"0.7250","0.0625","8.0032"
"0.7350","0.0635","7.7693"
"0.7450","0.0645","7.2381"
"0.7550","0.0655","6.9176"
"0.7650","0.0664","7.1439"
"0.7750","0.0674","7.5132"
"0.7850","0.0683","7.7467"
"0.7950","0.0692","7.8755"
"0.8050","0.0702","7.9201"
"0.8150","0.0711","8.1632"
"0.8250","0.0721","8.7641"
"0.8350","0.0730","9.3786"
"0.8450","0.0739","9.3089"
"0.8550","0.0749","8.6188"
"0.8650","0.0758","7.8017"
"0.8750","0.0767","7.7309"
"0.8850","0.0777","8.0571"
"0.8950","0.0786","8.5618"
"0.9050","0.0795","9.0231"
"0.9150","0.0805","9.9212"
"0.9250","0.0815","10.4689"
"0.9350","0.0826","9.8951"
"0.9450","0.0836","9.1136"
"0.9550","0.0848","9.2361"
"0.9650","0.0859","9.9435"
"0.9750","0.0870","9.9732"
"0.9850","0.0882","9.5089"
"0.9950","0.0893","9.1920"
"1.0050","0.0903","9.4857"
"1.0150","0.0914","9.9140"
"1.0250","0.0924","10.4275"
"1.0350","0.0934","10.7345"
"1.0450","0.0944","11.1506"
"1.0550","0.0954","11.4314"
"1.0650","0.0963","11.0395"
"1.0750","0.0973","10.2660"
"1.0850","0.0983","9.9400"
"1.0950","0.0993","10.4841"
"1.1050","0.1003","11.0439"
"1.1150","0.1013","11.1255"
"1.1250","0.1023","11.0299"
"1.1350","0.1033","11.3851"
"1.1450","0.1043","12.0404"
"1.1550","0.1053","12.5904"
"1.1650","0.1063","12.4148"
"1.1750","0.1073","11.8799"
"1.1850","0.1084","11.3037"
"1.1950","0.1094","11.0818"
"1.2050","0.1103","11.0635"
"1.2150","0.1113","11.6186"
"1.2250","0.1123","12.4806"
"1.2350","0.1133","13.0445"
"1.2450","0.1143","13.3476"
"1.2550","0.1154","13.1576"
"1.2650","0.1164","12.7431"
"1.2750","0.1174","12.4017"
"1.2850","0.1183","12.5399"
"1.2950","0.1193","12.5926"
"1.3050","0.1202","12.6324"
"1.3150","0.1212","12.6259"
"1.3250","0.1221","13.0678"
"1.3350","0.1231","13.4857"
"1.3450","0.1241","13.6828"
"1.3550","0.1250","13.8565"
"1.3650","0.1260","13.9840"
"1.3750","0.1270","13.8574"
"1.3850","0.1279","13.5808"
"1.3950","0.1289","13.3001"
"1.4050","0.1300","13.1837"
"1.4150","0.1310","13.3676"
"1.4250","0.1320","13.8752"
"1.4350","0.1331","14.4281"
"1.4450","0.1341","14.6788"
"1.4550","0.1351","14.7959"
"1.4650","0.1362","15.0245"
"1.4750","0.1372","15.4390"
"1.4850","0.1383","15.4880"
"1.4950","0.1394","15.0389"
"1.5050","0.1404","14.3658"
"1.5150","0.1414","13.9722"
"1.5250","0.1424","14.1273"
"1.5350","0.1434","14.4299"
"1.5450","0.1443","14.9281"
"1.5550","0.1453","15.7554"
"1.5650","0.1462","16.6325"
"1.5750","0.1472","16.7332"
"1.5850","0.1481","15.9215"
"1.5950","0.1491","15.2081"
"1.6050","0.1501","15.2898"
"1.6150","0.1510","15.5192"
"1.6250","0.1520","15.5208"
"1.6350","0.1530","15.3727"
"1.6450","0.1540","15.7727"
"1.6550","0.1551","16.3762"
"1.6650","0.1561","16.8465"
"1.6750","0.1571","16.8997"
"1.6850","0.1580","17.0371"
"1.6950","0.1590","17.1901"
"1.7050","0.1601","17.1401"
"1.7150","0.1612","16.7201"
"1.7250","0.1623","16.2721"
"1.7350","0.1634","16.3991"
"1.7450","0.1646","16.6124"
"1.7550","0.1657","17.0534"
"1.7650","0.1669","17.5739"
"1.7750","0.1680","17.9992"
"1.7850","0.1691","18.1485"
"1.7950","0.1701","18.2343"
"1.8050","0.1711","18.1753"
"1.8150","0.1721","17.8997"
"1.8250","0.1730","17.2772"
"1.8350","0.1739","16.8399"
"1.8450","0.1747","17.0440"
"1.8550","0.1755","17.5787"
"1.8650","0.1763","18.1289"
"1.8750","0.1771","18.6211"
"1.8850","0.1780","19.2013"
"1.8950","0.1789","19.3989"
"1.9050","0.1798","19.1154"
"1.9150","0.1807","18.5704"
"1.9250","0.1817","18.3182"
"1.9350","0.1827","18.2687"
"1.9450","0.1836","18.4344"
"1.9550","0.1846","18.4377"
"1.9650","0.1856","18.6779"
"1.9750","0.1867","19.2810"
"1.9850","0.1877","19.7868"
"1.9950","0.1888","20.0456"
"2.0050","0.1898","20.1992"
"2.0150","0.1909","20.1057"
"2.0250","0.1920","19.5742"
"2.0350","0.1932","19.2482"
"2.0450","0.1943","19.2079"
"2.0550","0.1955","19.5154"
"2.0650","0.1966","19.7184"
"2.0750","0.1977","20.1287"
"2.0850","0.1988","20.6319"
"2.0950","0.1998","20.6604"
"2.1050","0.2009","20.4610"
"2.1150","0.2018","20.5210"
"2.1250","0.2028","20.8382"
"2.1350","0.2037","20.9521"
"2.1450","0.2046","20.7303"
"2.1550","0.2055","20.1084"
"2.1650","0.2064","19.9214"
"2.1750","0.2072","20.4191"
"2.1850","0.2081","21.1685"
"2.1950","0.2090","21.6718"
"2.2050","0.2099","21.7948"
"2.2150","0.2108","21.8348"
"2.2250","0.2117","21.9646"
"2.2350","0.2126","21.5361"
"2.2450","0.2136","21.1472"
"2.2550","0.2146","21.0850"
"2.2650","0.2156","21.5933"
"2.2750","0.2166","21.8284"
"2.2850","0.2177","21.5223"
"2.2950","0.2188","21.5875"
"2.3050","0.2200","22.4356"
"2.3150","0.2211","23.2447"
"2.3250","0.2223","23.0561"
"2.3350","0.2235","22.6617"
"2.3450","0.2247","22.4446"
"2.3550","0.2259","22.4103"
"2.3650","0.2269","22.0090"
"2.3750","0.2280","21.9554"
"2.3850","0.2289","22.4644"
"2.3950","0.2299","23.2822"
"2.4050","0.2308","23.6258"
"2.4150","0.2317","23.3155"
"2.4250","0.2326","23.1443"
"2.4350","0.2335","23.4423"
"2.4450","0.2344","23.5436"
"2.4550","0.2354","23.3317"
"2.4650","0.2363","23.4502"
"2.4750","0.2372","23.5808"
"2.4850","0.2381","23.4487"
"2.4950","0.2390","23.0484"
"2.5050","0.2399","23.3602"
"2.5150","0.2408","24.1076"
"2.5250","0.2417","24.5193"
"2.5350","0.2426","24.4208"
"2.5450","0.2436","24.5794"
"2.5550","0.2446","24.8145"
"2.5650","0.2456","24.4820"
"2.5750","0.2467","23.8863"
"2.5850","0.2478","23.8341"
"2.5950","0.2489","24.4970"
"2.6050","0.2501","24.6980"
"2.6150","0.2512","24.4171"
"2.6250","0.2523","24.5021"
"2.6350","0.2533","25.5990"
"2.6450","0.2544","26.3274"
"2.6550","0.2555","26.1919"
"2.6650","0.2565","25.4060"
"2.6750","0.2576","24.9243"
"2.6850","0.2586","24.8843"
"2.6950","0.2596","24.7504"
"2.7050","0.2607","24.9036"
"2.7150","0.2617","25.5931"
"2.7250","0.2627","26.5109"
"2.7350","0.2636","26.8980"
"2.7450","0.2646","26.7609"
"2.7550","0.2656","26.2445"
"2.7650","0.2665","25.8161"
"2.7750","0.2674","25.8802"
"2.7850","0.2684","26.1201"
"2.7950","0.2694","26.0996"
"2.8050","0.2704","25.9316"
"2.8150","0.2714","26.0104"
"2.8250","0.2724","26.4138"
"2.8350","0.2734","26.9342"
"2.8450","0.2744","27.4176"
"2.8550","0.2754","27.7238"
"2.8650","0.2764","27.8476"
"2.8750","0.2774","27.5653"
"2.8850","0.2783","26.8497"
"2.8950","0.2793","26.3512"
"2.9050","0.2803","26.4660"
"2.9150","0.2813","27.2049"
"2.9250","0.2823","27.7329"
"2.9350","0.2833","27.8390"
"2.9450","0.2842","27.9159"
"2.9550","0.2852","28.4380"
"2.9650","0.2861","28.7258"
"2.9750","0.2871","28.5276"
"2.9850","0.2881","28.0344"
"2.9950","0.2891","27.6474"
"3.0050","0.2901","27.4511"
"3.0150","0.2911","27.2776"
"3.0250","0.2921","27.5119"
"3.0350","0.2932","28.2290"
"3.0450","0.2942","28.9687"
"3.0550","0.2952","29.5052"
"3.0650","0.2962","29.5917"
"3.0750","0.2972","29.1667"
"3.0850","0.2982","28.9143"
"3.0950","0.2992","28.7697"
"3.1050","0.3003","28.6973"
"3.1150","0.3014","28.7344"
"3.1250","0.3025","29.0684"
"3.1350","0.3036","29.1583"
"3.1450","0.3047","29.2211"
"3.1550","0.3058","29.5570"
"3.1650","0.3068","30.1013"
"3.1750","0.3077","30.3621"
"3.1850","0.3087","30.3674"
"3.1950","0.3096","30.5259"
"3.2050","0.3105","30.0796"
"3.2150","0.3114","29.2841"
"3.2250","0.3123","28.8099"
"3.2350","0.3132","29.4074"
"3.2450","0.3142","30.3365"
"3.2550","0.3151","30.9113"
"3.2650","0.3161","30.8554"
"3.2750","0.3170","30.6899"
"3.2850","0.3179","30.9484"
"3.2950","0.3189","31.3019"
"3.3050","0.3199","31.0167"
"3.3150","0.3208","30.3016"
"3.3250","0.3218","30.1545"
"3.3350","0.3229","30.5141"
"3.3450","0.3239","30.7557"
"3.3550","0.3250","30.8841"
"3.3650","0.3262","31.4956"
"3.3750","0.3273","32.0307"
"3.3850","0.3284","32.2427"
"3.3950","0.3295","31.9514"
"3.4050","0.3307","31.5981"
"3.4150","0.3318","31.3949"
"3.4250","0.3328","31.5826"
"3.4350","0.3339","31.8012"
"3.4450","0.3349","31.7627"
"3.4550","0.3359","31.7809"
"3.4650","0.3369","32.0807"
"3.4750","0.3378","32.2682"
"3.4850","0.3387","32.3994"
"3.4950","0.3395","32.8820"
"3.5050","0.3403","33.0094"
"3.5150","0.3412","32.8577"
"3.5250","0.3420","32.6925"
"3.5350","0.3429","32.4334"
"3.5450","0.3438","31.7895"
"3.5550","0.3447","31.7274"
"3.5650","0.3457","32.4221"
"3.5750","0.3466","33.1450"
"3.5850","0.3476","33.5180"
"3.5950","0.3486","33.8781"
"3.6050","0.3495","34.0978"
"3.6150","0.3505","33.7483"
"3.6250","0.3515","33.4516"
"3.6350","0.3525","33.3791"
"3.6450","0.3535","33.2549"
"3.6550","0.3546","32.9341"
"3.6650","0.3557","33.1288"
"3.6750","0.3569","33.7778"
"3.6850","0.3581","34.6370"
"3.6950","0.3593","35.1167"
"3.7050","0.3604","35.1424"
"3.7150","0.3616","34.6284"
"3.7250","0.3627","33.9787"
"3.7350","0.3637","33.6151"
"3.7450","0.3647","33.5729"
"3.7550","0.3657","34.2699"
"3.7650","0.3667","34.9807"
"3.7750","0.3676","35.1402"
"3.7850","0.3686","34.5788"
"3.7950","0.3695","34.4959"
"3.8050","0.3704","35.0147"
"3.8150","0.3713","35.5970"
"3.8250","0.3723","35.5494"
"3.8350","0.3732","35.4833"
"3.8450","0.3741","35.7784"
"3.8550","0.3750","35.5979"
"3.8650","0.3759","34.9035"
"3.8750","0.3768","34.5218"
"3.8850","0.3778","35.1978"
"3.8950","0.3788","36.2068"
"3.9050","0.3798","36.5803"
"3.9150","0.3808","36.1578"
"3.9250","0.3818","36.1561"
"3.9350","0.3829","36.3490"
"3.9450","0.3840","36.4212"
"3.9550","0.3850","36.1457"
"3.9650","0.3861","35.9649"
"3.9750","0.3872","35.8562"
"3.9850","0.3883","35.9553"
"3.9950","0.3894","36.1791"
"4.0050","0.3905","36.7576"
"4.0150","0.3916","37.4376"
"4.0250","0.3926","37.9012"
"4.0350","0.3936","38.0852"
"4.0450","0.3946","37.4632"
"4.0550","0.3956","36.5396"
"4.0650","0.3965","35.9481"
"4.0750","0.3975","36.2153"
"4.0850","0.3984","37.0444"
"4.0950","0.3994","37.8048"
"4.1050","0.4003","38.0961"
"4.1150","0.4013","38.1831"
"4.1250","0.4022","38.1100"
"4.1350","0.4031","37.8978"
"4.1450","0.4041","37.7597"
"4.1550","0.4050","37.7416"
"4.1650","0.4059","37.7865"
"4.1750","0.4068","37.9032"
"4.1850","0.4077","38.0786"
"4.1950","0.4087","37.9964"
"4.2050","0.4098","37.9658"
"4.2150","0.4108","38.4083"
"4.2250","0.4119","39.0239"
"4.2350","0.4130","39.2266"
"4.2450","0.4141","39.1743"
"4.2550","0.4151","38.9319"
"4.2650","0.4162","38.7238"
"4.2750","0.4172","38.5778"
"4.2850","0.4182","38.6255"
"4.2950","0.4191","38.4695"
"4.3050","0.4201","38.5558"
"4.3150","0.4211","39.0196"
"4.3250","0.4221","39.5791"
"4.3350","0.4231","39.9073"
"4.3450","0.4242","40.3698"
"4.3550","0.4252","41.0041"
"4.3650","0.4262","40.7034"
"4.3740","0.4271","39.5907"
"4.3830","0.4280","38.5389"
"4.3930","0.4291","38.5707"
"4.4030","0.4301","39.3800"
"4.4130","0.4311","40.3784"
"4.4230","0.4321","40.8166"
"4.4330","0.4331","40.8126"
"4.4430","0.4342","40.6604"
"4.4530","0.4353","40.7901"
"4.4630","0.4363","40.8416"
"4.4730","0.4373","40.6983"
"4.4830","0.4384","40.4226"
"4.4930","0.4394","40.4826"
"4.5030","0.4404","40.6293"
"4.5130","0.4414","40.4622"
"4.5230","0.4424","40.3000"
"4.5330","0.4434","40.6874"
"4.5430","0.4444","41.7984"
"4.5530","0.4453","42.4608"
"4.5630","0.4462","42.2593"
"4.5730","0.4472","41.5557"
"4.5830","0.4481","41.3988"
"4.5930","0.4490","41.3073"
"4.6030","0.4499","41.1289"
"4.6130","0.4509","41.0380"
"4.6230","0.4518","41.6382"
"4.6330","0.4528","42.2125"
"4.6430","0.4537","42.2683"
"4.6530","0.4547","42.1972"
"4.6630","0.4557","42.4209"
"4.6730","0.4567","42.9589"
"4.6830","0.4577","43.0303"
"4.6930","0.4588","42.4937"
"4.7030","0.4598","41.7905"
"4.7130","0.4608","41.6497"
"4.7230","0.4619","42.0643"
"4.7330","0.4629","42.6650"
"4.7430","0.4640","42.9343"
"4.7530","0.4651","43.2572"
"4.7630","0.4663","43.6517"
"4.7730","0.4674","43.9403"
"4.7830","0.4685","43.7640"
"4.7930","0.4696","43.4162"
"4.8030","0.4706","43.1304"
"4.8130","0.4716","42.9598"
"4.8230","0.4725","42.9008"
"4.8330","0.4734","42.6874"
"4.8430","0.4742","43.0242"
"4.8530","0.4751","43.6128"
"4.8630","0.4761","44.3833"
"4.8730","0.4770","44.8504"
"4.8830","0.4779","45.0224"
"4.8930","0.4788","44.7522"
"4.9030","0.4798","44.3263"
"4.9130","0.4807","43.8048"
"4.9230","0.4817","43.5912"
"4.9330","0.4826","43.7100"
"4.9430","0.4836","43.9802"
"4.9530","0.4845","44.4250"
"4.9630","0.4855","44.9366"
"4.9730","0.4865","45.3049"
"4.9830","0.4875","45.3915"
"4.9930","0.4885","45.4500"
"5.0030","0.4896","45.4519"
"5.0130","0.4907","45.4157"
"5.0230","0.4919","44.8072"
"5.0330","0.4930","44.1836"
"5.0430","0.4942","44.2158"
"5.0530","0.4953","45.1779"
"5.0630","0.4965","46.1374"
"5.0730","0.4977","46.2779"
"5.0830","0.4988","46.0018"
"5.0930","0.4998","46.0913"
"5.1030","0.5008","46.4168"
"5.1130","0.5018","46.1857"
"5.1230","0.5027","45.7813"
"5.1330","0.5036","45.8279"
"5.1430","0.5044","46.0975"
"5.1530","0.5053","45.9857"
"5.1630","0.5061","45.7960"
"5.1730","0.5070","46.0010"
"5.1830","0.5079","46.7770"
"5.1930","0.5087","47.3994"
"5.2030","0.5096","47.3534"
"5.2130","0.5106","46.9402"
"5.2230","0.5115","46.6369"
"5.2330","0.5125","46.3919"
