Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0000","0.7540"
"0.0100","0.0000","1.3249"
"0.0200","0.0000","0.7774"
"0.0300","0.0000","0.1358"
"0.0400","0.0001","0.0552"
"0.0500","0.0001","0.1973"
"0.0600","0.0002","0.2748"
"0.0700","0.0004","0.3981"
"0.0800","0.0006","0.5146"
"0.0900","0.0009","0.3397"
"0.1000","0.0014","0.1527"
"0.1100","0.0020","0.2017"
"0.1200","0.0026","-0.4513"
"0.1300","0.0030","0.2125"
"0.1390","0.0032","1.2631"
"0.1490","0.0033","0.6790"
"0.1590","0.0034","0.3921"
"0.1690","0.0034","-0.1716"
"0.1790","0.0035","-0.0197"
"0.1890","0.0037","0.3786"
"0.1990","0.0040","1.0825"
"0.2090","0.0046","1.6256"
"0.2190","0.0055","1.8004"
"0.2290","0.0068","1.6539"
"0.2390","0.0084","1.4963"
"0.2490","0.0102","1.7133"
"0.2590","0.0120","2.0641"
"0.2690","0.0138","2.1759"
"0.2790","0.0154","1.8052"
"0.2890","0.0169","1.4098"
"0.2990","0.0183","0.9986"
"0.3090","0.0196","1.2413"
"0.3190","0.0208","2.1001"
"0.3290","0.0219","3.1677"
"0.3390","0.0231","3.6499"
"0.3490","0.0242","3.4560"
"0.3590","0.0253","3.2396"
"0.3690","0.0264","3.4040"
"0.3790","0.0276","3.5153"
"0.3890","0.0288","3.2351"
"0.3990","0.0300","2.8374"
"0.4090","0.0312","2.7443"
"0.4190","0.0324","3.2842"
"0.4290","0.0335","3.6687"
"0.4390","0.0346","3.9618"
"0.4490","0.0356","4.1951"
"0.4590","0.0366","4.7109"
"0.4690","0.0376","4.7419"
"0.4790","0.0385","4.2350"
"0.4890","0.0395","3.6570"
"0.4990","0.0404","3.4606"
"0.5090","0.0413","3.7914"
"0.5190","0.0422","4.5720"
"0.5290","0.0431","5.1809"
"0.5390","0.0440","5.3998"
"0.5490","0.0448","5.5080"
"0.5590","0.0457","5.4754"
"0.5690","0.0465","5.3406"
"0.5790","0.0474","5.1285"
"0.5890","0.0483","5.4373"
"0.5990","0.0493","5.7177"
"0.6090","0.0503","5.7456"
"0.6190","0.0513","5.2789"
"0.6290","0.0524","5.0161"
"0.6390","0.0536","5.4907"
"0.6490","0.0548","6.4861"
"0.6590","0.0560","6.9478"
"0.6690","0.0572","6.4149"
"0.6790","0.0583","5.9891"
"0.6890","0.0595","6.0393"
"0.6990","0.0606","5.9403"
"0.7090","0.0617","5.5986"
"0.7190","0.0628","5.9870"
"0.7290","0.0639","6.7527"
"0.7390","0.0649","7.2330"
"0.7490","0.0659","7.0402"
"0.7590","0.0668","7.0240"
"0.7690","0.0678","7.1919"
"0.7790","0.0687","7.6255"
"0.7890","0.0696","8.0177"
"0.7990","0.0705","7.9918"
"0.8090","0.0714","7.2705"
"0.8190","0.0723","6.7326"
"0.8290","0.0732","7.1404"
"0.8390","0.0741","7.8103"
