Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0000","0.8297"
"0.0100","0.0000","1.0047"
"0.0200","0.0000","1.0958"
"0.0300","0.0000","0.9916"
"0.0400","0.0001","0.4685"
"0.0500","0.0002","0.0155"
"0.0600","0.0002","0.3650"
"0.0700","0.0004","1.2417"
"0.0800","0.0006","1.6120"
"0.0900","0.0010","1.5412"
"0.1000","0.0015","1.4672"
"0.1100","0.0021","1.2987"
"0.1200","0.0026","0.7220"
"0.1300","0.0029","0.0485"
"0.1400","0.0031","0.2702"
"0.1500","0.0032","0.4968"
"0.1600","0.0033","0.5672"
"0.1700","0.0034","0.4267"
"0.1800","0.0035","0.7734"
"0.1900","0.0038","1.6753"
"0.2000","0.0042","2.6320"
"0.2100","0.0051","2.9028"
"0.2200","0.0063","2.1449"
"0.2300","0.0078","1.2850"
"0.2400","0.0096","0.8058"
"0.2500","0.0114","0.6773"
"0.2600","0.0131","1.2546"
"0.2700","0.0147","2.2313"
"0.2800","0.0162","2.8095"
"0.2900","0.0176","2.7467"
"0.3000","0.0189","2.4785"
"0.3100","0.0201","2.5064"
"0.3200","0.0213","2.8299"
"0.3300","0.0224","2.9704"
"0.3400","0.0235","2.9335"
"0.3500","0.0246","2.8994"
"0.3600","0.0257","2.8472"
"0.3700","0.0268","2.8683"
"0.3800","0.0279","3.2458"
"0.3900","0.0291","3.7219"
"0.4000","0.0303","4.0057"
"0.4100","0.0315","3.8373"
"0.4200","0.0327","3.1076"
"0.4300","0.0338","2.6777"
"0.4400","0.0350","3.0392"
"0.4500","0.0360","3.5506"
"0.4600","0.0370","3.7586"
"0.4700","0.0380","3.5996"
"0.4800","0.0390","3.6717"
"0.4900","0.0399","3.7730"
"0.5000","0.0408","3.9071"
"0.5100","0.0417","4.3604"
"0.5200","0.0426","4.9134"
"0.5300","0.0435","5.1180"
"0.5400","0.0444","4.8257"
"0.5500","0.0452","4.5427"
"0.5600","0.0461","4.3898"
"0.5700","0.0470","4.4121"
"0.5800","0.0478","4.6384"
"0.5900","0.0487","4.7370"
"0.6000","0.0497","4.9908"
"0.6100","0.0507","5.4605"
"0.6200","0.0517","5.6186"
"0.6300","0.0528","5.5933"
"0.6400","0.0540","5.6605"
"0.6500","0.0552","5.6961"
"0.6600","0.0564","5.4582"
"0.6700","0.0576","5.1310"
"0.6800","0.0587","4.8687"
"0.6900","0.0599","4.9566"
"0.7000","0.0610","5.2140"
"0.7100","0.0621","5.7542"
"0.7200","0.0632","6.4021"
"0.7300","0.0642","6.6809"
"0.7400","0.0652","6.4020"
"0.7500","0.0662","6.1026"
"0.7600","0.0672","6.2112"
"0.7700","0.0681","6.5686"
"0.7800","0.0691","6.5453"
"0.7900","0.0700","6.0182"
"0.8000","0.0709","5.7483"
"0.8100","0.0718","5.8748"
"0.8200","0.0727","6.2226"
"0.8300","0.0736","6.7777"
"0.8400","0.0745","7.6398"
"0.8500","0.0755","8.0383"
"0.8600","0.0764","7.6830"
"0.8700","0.0773","6.7309"
"0.8800","0.0782","6.2475"
"0.8900","0.0791","6.4444"
"0.9000","0.0801","7.1550"
"0.9100","0.0811","7.3675"
"0.9200","0.0821","7.4692"
"0.9300","0.0832","7.6119"
"0.9400","0.0843","7.7108"
"0.9500","0.0854","7.8417"
"0.9600","0.0866","7.7053"
"0.9700","0.0877","7.7541"
"0.9800","0.0888","7.8058"
"0.9900","0.0899","7.8806"
"1.0000","0.0910","7.6236"
"1.0100","0.0921","7.7431"
"1.0200","0.0931","8.0503"
"1.0300","0.0941","8.4193"
"1.0400","0.0951","8.5922"
"1.0500","0.0961","8.6722"
"1.0600","0.0972","8.4368"
"1.0700","0.0982","8.1505"
"1.0800","0.0991","8.2668"
"1.0900","0.1001","8.7626"
"1.1000","0.1011","9.0959"
"1.1100","0.1021","8.8388"
"1.1200","0.1030","8.7743"
"1.1300","0.1040","9.0190"
"1.1400","0.1049","9.1729"
"1.1500","0.1059","9.1071"
"1.1600","0.1069","9.0628"
"1.1700","0.1079","9.1807"
"1.1800","0.1088","9.1918"
"1.1900","0.1098","9.2232"
"1.2000","0.1108","9.4466"
"1.2100","0.1118","9.6237"
"1.2200","0.1128","9.4631"
"1.2300","0.1138","9.3144"
"1.2400","0.1148","9.4924"
"1.2500","0.1159","9.4807"
"1.2600","0.1169","9.5463"
"1.2700","0.1179","10.1943"
"1.2800","0.1189","10.7280"
"1.2900","0.1199","10.7614"
"1.3000","0.1209","10.4086"
"1.3100","0.1218","10.1354"
"1.3200","0.1228","10.0414"
"1.3300","0.1237","10.0664"
"1.3400","0.1247","10.0346"
"1.3500","0.1256","9.9228"
"1.3600","0.1266","10.2898"
"1.3700","0.1276","10.7554"
"1.3800","0.1286","10.9388"
"1.3900","0.1296","10.7022"
"1.4000","0.1307","10.8063"
"1.4100","0.1317","11.0866"
"1.4200","0.1327","11.1013"
"1.4300","0.1338","10.5856"
"1.4400","0.1348","10.3576"
"1.4500","0.1359","10.3708"
"1.4600","0.1369","10.6848"
"1.4700","0.1380","11.5397"
"1.4800","0.1391","12.2994"
"1.4900","0.1401","12.3976"
"1.5000","0.1411","11.9478"
"1.5100","0.1421","11.5283"
"1.5200","0.1430","11.2884"
"1.5300","0.1439","11.5326"
"1.5400","0.1448","11.8575"
"1.5500","0.1458","12.1971"
"1.5600","0.1467","12.0963"
"1.5700","0.1477","11.7982"
"1.5800","0.1487","11.7028"
"1.5900","0.1496","12.1722"
"1.6000","0.1506","12.5479"
"1.6100","0.1516","12.6950"
"1.6200","0.1526","12.5029"
"1.6300","0.1535","12.1707"
"1.6400","0.1545","11.9741"
"1.6500","0.1556","12.0661"
"1.6600","0.1566","12.4000"
"1.6700","0.1576","12.7362"
"1.6800","0.1586","12.8607"
"1.6900","0.1596","12.5654"
"1.7000","0.1607","12.5400"
"1.7100","0.1618","12.7229"
"1.7200","0.1629","13.0981"
"1.7300","0.1641","13.3609"
"1.7400","0.1652","13.4266"
"1.7500","0.1663","13.1972"
"1.7600","0.1674","13.0143"
"1.7700","0.1685","12.8617"
"1.7800","0.1696","13.0159"
"1.7900","0.1707","13.4587"
"1.8000","0.1717","13.5956"
"1.8100","0.1727","13.7244"
"1.8200","0.1736","13.9221"
"1.8300","0.1744","14.1855"
"1.8400","0.1752","14.0898"
"1.8500","0.1761","13.9557"
"1.8600","0.1769","13.9180"
"1.8700","0.1777","14.0657"
"1.8800","0.1786","14.0226"
"1.8900","0.1795","13.6846"
