Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0000","1.3343"
"0.0100","0.0000","1.8773"
"0.0200","0.0000","1.7988"
"0.0300","0.0000","1.2048"
"0.0400","0.0001","0.6650"
"0.0500","0.0001","0.6126"
"0.0600","0.0002","0.5644"
"0.0700","0.0004","0.7447"
"0.0800","0.0006","0.5675"
"0.0900","0.0010","0.9573"
"0.1000","0.0016","1.8832"
"0.1100","0.0022","2.4255"
"0.1200","0.0028","1.9563"
"0.1300","0.0031","1.1119"
"0.1400","0.0033","1.2807"
"0.1500","0.0034","0.9639"
"0.1600","0.0035","0.7191"
"0.1700","0.0036","0.3632"
"0.1800","0.0037","0.5331"
"0.1900","0.0039","1.6252"
"0.2000","0.0043","2.6498"
"0.2100","0.0051","2.9749"
"0.2200","0.0063","2.8575"
"0.2300","0.0078","2.9527"
"0.2400","0.0094","2.7814"
"0.2500","0.0112","2.2024"
"0.2600","0.0129","1.3876"
"0.2700","0.0146","1.2198"
"0.2800","0.0161","1.5122"
"0.2900","0.0175","2.2837"
"0.3000","0.0188","2.9780"
"0.3100","0.0200","3.6545"
"0.3200","0.0212","3.8686"
"0.3300","0.0223","3.9984"
"0.3400","0.0234","3.8253"
"0.3500","0.0245","3.5547"
"0.3600","0.0256","3.4899"
"0.3700","0.0267","3.5495"
"0.3800","0.0279","3.6270"
"0.3900","0.0291","4.1113"
"0.4000","0.0303","4.4847"
"0.4100","0.0316","4.3666"
"0.4200","0.0328","4.4754"
"0.4300","0.0340","4.8884"
"0.4400","0.0351","5.1149"
"0.4500","0.0362","4.9445"
"0.4600","0.0372","4.6713"
"0.4700","0.0382","4.4561"
"0.4800","0.0392","4.2849"
"0.4900","0.0401","4.2261"
"0.5000","0.0410","4.3886"
"0.5100","0.0419","4.8011"
"0.5200","0.0428","5.4849"
"0.5300","0.0437","5.9374"
"0.5400","0.0446","5.7482"
"0.5500","0.0454","5.4386"
"0.5600","0.0463","5.6373"
"0.5700","0.0471","5.9909"
"0.5800","0.0480","5.8402"
"0.5900","0.0488","5.7393"
"0.6000","0.0498","5.9066"
"0.6100","0.0507","6.3289"
"0.6200","0.0518","6.4629"
"0.6300","0.0529","6.7302"
"0.6400","0.0541","6.9763"
"0.6500","0.0552","7.1988"
"0.6600","0.0564","7.0009"
"0.6700","0.0576","6.7385"
"0.6800","0.0588","6.5836"
"0.6900","0.0600","6.6008"
"0.7000","0.0612","6.8669"
"0.7100","0.0623","6.9256"
"0.7200","0.0633","6.7566"
"0.7300","0.0643","6.7015"
"0.7400","0.0653","7.1166"
"0.7500","0.0662","7.6123"
"0.7600","0.0672","8.0276"
"0.7700","0.0681","8.0955"
"0.7800","0.0690","7.8605"
"0.7900","0.0700","7.3778"
"0.8000","0.0709","7.3055"
"0.8100","0.0718","7.6092"
"0.8200","0.0727","7.9677"
"0.8300","0.0737","8.3559"
"0.8400","0.0746","8.7252"
"0.8500","0.0755","8.9856"
"0.8600","0.0765","8.7042"
"0.8700","0.0774","8.3024"
