x y0 y1 y2 y3 y4 y5
0.0 0.0 0.2 0.4 0.6000000000000001 0.8 1.0
0.02 0.0 0.09125862733640222 0.20405832612714547 0.34382943861674076 0.5046302904359004 0.6789256279699377
0.04 0.0 0.040060069502194345 0.09328492893416039 0.16957698382570682 0.27406750670332347 0.40522422261804997
0.06 0.0 0.01742963614065617 0.04096951017715133 0.07636431769537463 0.12985237214139453 0.20737816039272614
0.08 0.0 0.007570155979438636 0.01782708440052335 0.033412377602442166 0.057627894659411635 0.09494970239393931
0.1 0.0 0.003286826991076833 0.007742924729117737 0.014527776326147532 0.025130755341515362 0.041717655536137536
0.12 0.0 0.001426992147390516 0.0033618521187659045 0.006309011335884726 0.0109197814505728 0.018154131118003236
0.14 0.0 0.0006195283413661312 0.0014595656600100199 0.0027391956786020325 0.004741571281100032 0.007885097694420893
0.16 0.0 0.0002689674990090781 0.0006336702055187513 0.0011892300112192344 0.0020586090307755777 0.003423591583287481
0.18 0.0 0.00011677187346309636 0.0002751071792444882 0.000516303526003063 0.0008937473366859554 0.0014863710121704083
0.2 0.0 5.06963458445444e-05 0.00011943740781633418 0.00022415253161508315 0.0003880195700420388 0.0006453078138481192
0.22 0.0 2.2009747444741495e-05 5.1853583906883964e-05 9.731551348487476e-05 0.00016845818579704866 0.00028015963893438656
0.24 0.0 9.555500956655032e-06 2.2512160730042147e-05 4.2249394084338846e-05 7.313588764409786e-05 0.00012163092678201657
0.26 0.0 4.148507324465545e-06 9.773622979494212e-06 1.8342515165785148e-05 3.1751843163840906e-05 5.280589714210086e-05
0.28 0.0 1.8010686302569486e-06 4.243204694463323e-06 7.963377209080982e-06 1.3785018147256875e-05 2.292560618860678e-05
0.3 0.0 7.819314170434424e-07 1.8421813604848053e-06 3.457289034658234e-06 5.984746275346562e-06 9.95311974520842e-06
0.32 0.0 3.3947442684078287e-07 7.997804511478772e-07 1.500977180222831e-06 2.598269192698943e-06 4.3211329633068735e-06
0.34 0.0 1.4738234577470387e-07 3.472235599363499e-07 6.516471353523588e-07 1.1280349219269801e-06 1.8760138089907503e-06
0.36 0.0 6.398583848626472e-08 1.5074662102799438e-07 2.829116888698103e-07 4.897347775407463e-07 8.144687611645718e-07
0.38 0.0 2.7779361939650772e-08 6.544643386387843e-08 1.228257125013714e-07 2.126176660584582e-07 3.5360046910702865e-07
0.4 0.0 1.2060370982553698e-08 2.8413477372096387e-08 5.3324610629327994e-08 9.230766119396736e-08 1.5351514719096213e-07
0.42 0.0 5.235993128741086e-09 1.2335671307221725e-08 2.315080483443272e-08 4.007524150301377e-08 6.664838561038855e-08
0.44 0.0 2.2731990652595e-09 5.355514378160957e-09 1.0050889414037643e-08 1.739860983098791e-08 2.8935303035246333e-08
0.46 0.0 9.869061825027824e-10 2.325089047881617e-09 4.36357952717756e-09 7.553582029647505e-09 1.2562221186210222e-08
0.48 0.0 4.2846393347035315e-10 1.0094341456021704e-09 1.894441925050895e-09 3.2793770325829514e-09 5.453870690037007e-09
0.5 0.0 1.8601701513240808e-10 4.3824441701962045e-10 8.224693018742597e-10 1.4237369342945264e-09 2.367790302585663e-09
0.52 0.0 8.075902594299642e-11 1.902631983330583e-10 3.57073892622683e-10 6.181133910295821e-10 1.0279728353773387e-09
0.54 0.0 3.506141772363756e-11 8.26025004177155e-11 1.5502312913340564e-10 2.6835306085488686e-10 4.4629296315630746e-10
0.56 0.0 1.52218652768188e-11 3.586175957851098e-11 6.730307385341989e-11 1.1650510458968544e-10 1.937574633377593e-10
0.58 0.0 6.608551437707889e-12 1.5569332569394056e-11 2.921953501674478e-11 5.0580527578902644e-11 8.411953066339212e-11
0.6 0.0 2.8690933279602756e-12 6.759403874918828e-12 1.2685620101902537e-11 2.1959465030913616e-11 3.652037612968886e-11
0.62 0.0 1.2456128399904308e-12 2.9345857017714063e-12 5.507444156026875e-12 9.533670911037576e-12 1.585527002035896e-11
0.64 0.0 5.407810655821611e-13 1.274046262126125e-12 2.3910491476254697e-12 4.139029840299463e-12 6.883543217785459e-12
0.66 0.0 2.347793403401528e-13 5.531253958804955e-13 1.0380706302948461e-12 1.7969539937712119e-12 2.988480623179411e-12
0.68 0.0 1.0192912096731445e-13 2.401386140071477e-13 4.506769066419588e-13 7.801450533868787e-13 1.2974446665843766e-12
0.7000000000000001 0.0 4.4252384754624696e-14 1.0425584210516511e-13 1.9566074624678962e-13 3.3869887956714494e-13 5.632837803235724e-13
0.72 0.0 1.9212110708766917e-14 4.52625274697954e-14 8.494583826604791e-14 1.470456430147363e-13 2.445488623502545e-13
0.74 0.0 8.340910889493752e-15 1.9650662750269853e-14 3.6879116415206674e-14 6.383965945576963e-14 1.0617054523112644e-13
0.76 0.0 3.6211947516380254e-15 8.531307642564324e-15 1.60110166116281e-14 2.7715898518803488e-14 4.6093793143597235e-14
0.78 0.0 1.5721366170939478e-15 3.703855234657514e-15 6.951160381709331e-15 1.2032818427498496e-14 2.001155557541437e-14
0.8 0.0 6.825409049567364e-16 1.6080235497376085e-15 3.017836519959246e-15 5.224031225648969e-15 8.68798875589012e-15
0.8200000000000001 0.0 2.9632417556706634e-16 6.98121166377021e-16 1.3101894879542665e-15 2.2680058218271382e-15 3.771878120020172e-15
0.84 0.0 1.2864872476920244e-16 3.0308832418725467e-16 5.688169266269746e-16 9.846515431581832e-16 1.6375555899104392e-15
0.86 0.0 5.585266322961951e-17 1.3158537039547077e-16 2.4695107004907593e-16 4.274850849645162e-16 7.109424601536662e-16
0.88 0.0 2.4248355321343088e-17 5.712760380507375e-17 1.0721346033075586e-16 1.8559204942794884e-16 3.0865467087867873e-16
0.9 0.0 1.0527389416916673e-17 2.4801868982099315e-17 4.654657326979893e-17 8.05745276790775e-17 1.3400199199613698e-16
0.92 0.0 4.570451334398816e-18 1.0767696595574481e-17 2.020812943148e-17 3.498131806140149e-17 5.817677667995129e-17
0.9400000000000001 0.0 1.984255029698144e-18 4.674780358610394e-18 8.773331019501968e-18 1.5187090120922747e-17 2.5257365912638774e-17
0.96 0.0 8.614615351549914e-19 2.0295493290766876e-18 3.808929343942658e-18 6.593453852601593e-18 1.0965449948428824e-17
0.98 0.0 3.7400231595456223e-19 8.81125991634835e-19 1.6536413267547055e-18 2.862538732584105e-18 4.760634699096992e-18
1.0 0.0 1.6237258035462936e-19 3.8253961212545395e-19 7.179260602194647e-19 1.2427671716108306e-18 2.066822870455366e-18
