x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9
0.0 0.0 3.953196648137845e-06 1.9624380882501175e-05 0.00014246649241915496 0.0038822726054644477 1.0 2.836734693877551 4.673469387755102 6.5102040816326525 8.346938775510203
0.02 0.0 1.5444512327533093e-05 7.666934357146343e-05 0.0005565939465187776 0.015166528613714515 1.8188567864259886 3.6738315270455137 5.496168595808653 7.315903608118193 9.134858333564557
0.04 0.0 6.033926011233406e-05 0.0002995349587069034 0.002174521636501752 0.059199961870854086 2.657044638251096 4.505047140463869 6.311393018170006 8.113866803330525 9.915040293547284
0.06 0.0 0.00023573591611087083 0.0011702351665306312 0.008495353917274434 0.2281921195752772 3.495061292233046 5.329236772189082 7.118981085141074 8.904067167865573 10.687545551361556
0.08 0.0 0.000920982636264043 0.0045718986893199115 0.03318062921798222 0.759365241625839 4.327678449189234 6.145999783763494 7.918846095044376 9.686518683785675 11.452467334901026
0.1 0.0 0.003598121146018703 0.017860221895559567 0.129077325561248 1.5590227000765822 5.153418378043006 6.955151774787286 8.710950859921331 10.461272087309244 12.209927628598649
0.12 0.0 0.014056576349254184 0.06969013468967572 0.47497699355900447 2.394580980950676 5.971790918863832 7.756593936179764 9.495299813613197 11.228411466827005 12.960073487717947
0.14 0.0 0.054874402744638194 0.26727144111660694 1.2111425601706196 3.2335459011641547 6.782582638365884 8.550279888249918 10.271934990257748 11.988050733565572 13.703073342575085
0.16 0.0 0.21191368175992759 0.8508802817720431 2.038944813418561 4.068097926110644 7.585680715523576 9.336205964329674 11.040932617251295 12.74032995868332 14.43911339115501
0.18 0.0 0.7180394762810824 1.6595922230470346 2.8780550959646396 4.896063789051699 8.381028722120297 10.114406820599772 11.802399625562964 13.485411669663364 15.168394160943226
0.2 0.0 1.5125278856035385 2.4964090135096253 3.71491625709783 5.716769654179193 9.168614291341258 10.884951999056874 12.556470012399627 14.223477207653156 15.89112729999838
0.22 0.0 2.347382603555192 3.3350719279275745 4.5458024910050145 6.529946621750814 9.948464172245727 11.6479424693034 13.303301137874382 14.954723232396208 16.607532637444997
0.24 0.0 3.1864543495242588 4.168891682087108 5.369633002673592 7.335458121502272 10.720640724517818 12.403507016559658 14.043070058637333 15.679358440904577 17.317835536177306
0.26 0.0 4.021336648500133 4.995999968784886 6.186024583780994 8.133232123706478 11.485238489154238 13.151798543359638 14.775969989671626 16.397600545671622 18.022264546171332
0.28 0.0 4.849697138166421 5.815803159707444 6.99479873160417 8.923243171779799 12.242380606591496 13.892990387680019 15.502206965541754 17.10967354002883 18.721049355472534
0.3 0.0 5.670820246305409 6.6280560838999145 7.795859661700767 9.705506185177974 12.992215128403714 14.627272752172798 16.221996751733094 17.81580526295357 19.4144190274697
0.32 0.0 6.4844249473211715 7.432631938005964 8.589163247060878 10.480072754279526 13.73491132340211 15.354849320037372 16.935562037897743 18.516225263415063 20.10260050714782
0.34 0.0 7.290369862684302 8.229464897403908 9.374707795017237 11.247027737519293 14.470656076019653 16.075934112277736 17.643129928781338 19.211162955074702 20.78581737523344
0.36 0.0 8.088580010472933 9.018534642996613 10.15252975871536 12.006485728118887 15.199650456926511 16.79074862178566 18.344929735634008 19.900846045532518 21.464288827094666
0.38 0.0 8.879027524848668 9.799860724456883 10.92270031001199 12.758587388957602 15.922106525011179 17.499519243044887 19.041191060937205 20.585499219946616 22.138228852545893
0.4 0.0 9.661725160974324 10.573498949928391 11.685321873901975 13.50349574927972 16.638244400101 18.20247500265177 19.73214216203832 21.265343056335084 22.807845592989686
0.42 0.0 10.436722537010784 11.339537975894462 12.440524510083355 14.241392564682345 17.348289628529823 18.899845585282414 20.418008574403807 21.940593148802034 23.47334085331227
0.44 0.0 11.20410273295822 12.09809575457462 13.188462213036196 14.972474826558626 18.052470849399477 19.591859641968178 21.099011972268876 22.61145941495237 24.13490974739552
0.46 0.0 11.963978766468381 12.849315858616444 13.929309233543268 15.696951486634692 18.75101775818114 20.278743362212836 21.77536924307333 23.27814556456483 24.792740457829122
0.48 0.0 12.716489932933378 13.59336378027253 14.66325651551656 16.41504044192568 19.444159355962825 20.960719288188567 22.44729175185926 23.940848707925 25.447014092258566
0.5 0.0 13.461798101560746 14.330423305316199 15.390508322641308 17.12696580730554 20.13212246683182 21.638005347576563 23.114984772444945 24.59975908387703 26.0979046206824
0.52 0.0 14.200084069333924 15.060693045493323 16.111279108583442 17.832955487662876 20.815130502184633 22.310814081192635 23.778647063412897 25.255059889478545 26.745578879842608
0.54 0.0 14.931544060113785 15.784383192615582 16.825790665313946 18.5332390494698 21.493402448770944 22.979352042026786 24.438470568543437 25.90692719502247 27.390196632585294
0.56 0.0 15.656386435696444 16.501712537283318 17.534269567603094 19.22804588238847 22.167152056615564 23.643819343449287 25.094640223121633 26.5555299300398 28.031910671675693
0.58 0.0 16.374828665247744 17.212905777424204 18.23694491828991 19.91760363497528 22.836587203280754 24.30440933586892 25.747333849420407 27.201029927663196 28.670866959015783
0.6 0.0 17.087094581254938 17.918191126983405 18.93404638851146 20.602136904227915 23.50190941193951 24.961308392895546 26.396722126526 27.84358201637738 29.307204792529046
0.62 0.0 17.79341193474203 18.617798223324193 19.6258025394376 21.28186615624303 24.16331350219242 25.614695789926433 27.042968621462567 28.483334149689504 29.941056994147036
0.64 0.0 18.494010250178395 19.311956323034057 20.312439406837925 21.957006854215084 24.82098735428965 26.264743659947403 27.686229870250404 29.120427565612548 30.572550113362468
0.66 0.0 19.189118971149377 20.000892769561293 20.99417932660108 22.627768770052477 25.47511176927467 26.911617013149016 28.326655499074786 29.754996969067236 31.20180464171338
0.68 0.0 19.878965881154457 20.684831712037084 21.671239977724976 23.294355456707624 26.125860409443437 27.555473808661112 28.964388377138572 30.387170731378514 31.828935234343188
0.7000000000000001 0.0 20.56377577946828 21.363993052355713 22.343833618923455 23.95696385965997 26.773399805339732 28.196465068280247 29.59956479402017 31.01707110197953 32.45405093545389
0.72 0.0 21.24376938942972 22.038591596698055 23.01216649552092 24.615784047653737 27.417889417235845 28.83473502349089 30.232314655462947 31.644814428250253 33.07725540504605
0.74 0.0 21.919162475416087 22.708836387838147 23.676438394454987 25.270999044620446 28.05948174064867 29.470421288359596 30.862761692491034 32.27051138012091 33.698647144830495
