x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10
0.0 0.0 0.022368499446680724 0.050681820496123575 0.08704908227434306 0.13453297916143708 0.19767767248175092 0.2833854263060552 0.4024123283532739 0.5719964456772877 0.8206259212659829 1.0
0.02 0.0 0.0273684516014539 0.06200967241213688 0.10650170243016434 0.16458486198076705 0.24180016799270304 0.34654109881655754 0.49182327341563503 0.6983172561387956 0.9996062463676001 1.2156117749709594
0.04 0.0 0.033485968528801216 0.07586874065751971 0.13029799275319934 0.20133735870791342 0.29573195500376354 0.4236576243965114 0.6007784810753115 0.8516391788583169 1.2151390204695003 1.4734693129448628
0.06 0.0 0.04097079544093101 0.09282407661252434 0.15940508833319622 0.2462742613860368 0.36162165816932235 0.5177279597703106 0.7332923020352727 1.0370416941908953 1.4729062263717887 1.7789961355345187
0.08 0.0 0.05012844938838487 0.11356641239806145 0.19500315266827867 0.3011994908209775 0.44206222033891146 0.632311807244813 0.8940032178095861 1.2600561721558123 1.7783325233859606 2.1366805730912457
0.1 0.0 0.06133264119076226 0.138939735438247 0.2385303910982064 0.36829922577796015 0.5401614527806999 0.7715837957431382 1.088120184764549 1.526359125779809 2.1359088871009604 2.5493088257398067
0.12 0.0 0.07504043684210465 0.16997459751159205 0.29173599376821774 0.4502103707928505 0.6596063367425651 0.940337604027807 1.3212462085763201 1.8412568078586955 2.5484256475190437 3.017350322973732
0.14 0.0 0.0918107398708562 0.20792808711734886 0.35674106571594144 0.5500909935607423 0.8047044446532763 1.1439061601938014 1.5990229506515048 2.2089793321522526 3.0163572423036413 3.5387828124572915
0.16 0.0 0.11232678055158941 0.25433131492901917 0.4361062875527587 0.6716833792496746 0.9803741292355278 1.3879444960745202 1.9265631824485219 2.6319203132196054 3.5376862002144596 4.109497051954456
0.18 0.0 0.13742340456927235 0.3110449388039742 0.5329025035238071 0.8193521681922409 1.1920404179977395 1.6780212119637976 2.3077135099291928 3.110083538398777 4.108306717892157 4.724136300483606
0.2 0.0 0.1681200460816298 0.3803224642724368 0.6507758614546472 0.9980679719851961 1.4453813722575892 2.0189989869234615 2.7443171607620127 3.6410126311435334 4.722863594017339 5.377026282837827
0.22 0.0 0.20566031408720448 0.4648794188900244 0.7939915211654043 1.2132920519788586 1.7458743563828192 2.4142755339133477 3.235757376734203 4.220295857657206 5.375682370767953 6.062887479833406
0.24 0.0 0.2515590509836827 0.5679634063313632 0.9674284923364789 1.4707062464794962 2.0981368361286536 2.8650893395230135 3.779030755496186 4.842450648116219 6.0614822487195505 6.77721169876972
0.26 0.0 0.3076574168208073 0.6934146210698315 1.1764835542452106 1.7757396370732934 2.505159510693706 3.3701810837171737 4.369373450070784 5.501831788024044 6.775753320250735 7.516352788465399
0.28 0.0 0.37618579568045774 0.845697625659464 1.426829528102557 2.1328935125265622 2.9676626999939195 3.92601858268779 5.001185311341864 6.193284198512053 7.514847748331858 8.277445773556414
0.3 0.0 0.4598327424476372 1.0298725234126735 1.723976048429229 2.544974326995341 3.4838666404138032 4.527532135006443 5.668894121553436 6.912459379407991 8.275899131966877 9.0582557141693
0.32 0.0 0.5618151951098149 1.2514587910404407 2.0726226306251734 3.0124760940911233 4.049839371694957 5.1690556860595 6.367525738295586 7.655865360385859 9.05667143070563 9.857019244758606
