x1 y1 x2 y2 x3 y3
-1.0 8.336399752496187e-06 -1.0 0.8610749611283985 -1.0 0.9521491534801418
-0.7777777777777777 8.338348704137135e-06 -0.7777777777777777 0.862978051582329 -0.7777777777777777 0.9522580735912876
-0.5555555555555556 8.340163382325476e-06 -0.5555555555555556 0.8648889448722595 -0.5555555555555556 0.9523681155994491
-0.3333333333333334 8.342974981738477e-06 -0.3333333333333334 0.8668291899953252 -0.3333333333333334 0.9524809106708998
-0.11111111111111116 8.325454698804366e-06 -0.11111111111111116 0.8688227831924114 -0.11111111111111116 0.952598339706514
0.11111111111111116 8.34902334118892e-06 0.11111111111111116 0.8708966235970046 0.11111111111111116 0.9527225845113764
0.33333333333333326 8.331487884931748e-06 0.33333333333333326 0.8730809328441508 0.33333333333333326 0.9528562474247971
0.5555555555555554 8.334184088805442e-06 0.5555555555555554 0.8754098462502305 0.5555555555555554 0.9530023928809198
0.7777777777777777 8.335998284013805e-06 0.7777777777777777 0.8779220329139561 0.7777777777777777 0.953164637069597
1.0 8.337804485922635e-06 1.0 0.8806613053578662 1.0 0.9533473053604112
