x y u v
0.0 0.0 0.02 0.0
0.1111111111111111 0.0 0.02 0.0
0.2222222222222222 0.0 0.02 0.0
0.3333333333333333 0.0 0.02 0.0
0.4444444444444444 0.0 0.02 0.0
0.5555555555555556 0.0 0.02 0.0
0.6666666666666666 0.0 0.02 0.0
0.7777777777777777 0.0 0.02 0.0
0.8888888888888888 0.0 0.02 0.0
1.0 0.0 0.02 0.0
0.0 5.0 0.02 0.6676481714908131
0.1111111111111111 5.0 0.02 0.6676481714908131
0.2222222222222222 5.0 0.02 0.6676481714908131
0.3333333333333333 5.0 0.02 0.6676481714908131
0.4444444444444444 5.0 0.02 0.6676481714908131
0.5555555555555556 5.0 0.02 0.6676481714908131
0.6666666666666666 5.0 0.02 0.6676481714908131
0.7777777777777777 5.0 0.02 0.6676481714908131
0.8888888888888888 5.0 0.02 0.6676481714908131
1.0 5.0 0.02 0.6676481714908131
0.0 10.0 0.02 0.8180810182603371
0.1111111111111111 10.0 0.02 0.8180810182603371
0.2222222222222222 10.0 0.02 0.8180810182603371
0.3333333333333333 10.0 0.02 0.8180810182603371
0.4444444444444444 10.0 0.02 0.8180810182603371
0.5555555555555556 10.0 0.02 0.8180810182603371
0.6666666666666666 10.0 0.02 0.8180810182603371
0.7777777777777777 10.0 0.02 0.8180810182603371
0.8888888888888888 10.0 0.02 0.8180810182603371
1.0 10.0 0.02 0.8180810182603371
0.0 15.0 0.02 0.8937506692423708
0.1111111111111111 15.0 0.02 0.8937506692423708
0.2222222222222222 15.0 0.02 0.8937506692423708
0.3333333333333333 15.0 0.02 0.8937506692423708
0.4444444444444444 15.0 0.02 0.8937506692423708
0.5555555555555556 15.0 0.02 0.8937506692423708
0.6666666666666666 15.0 0.02 0.8937506692423708
0.7777777777777777 15.0 0.02 0.8937506692423708
0.8888888888888888 15.0 0.02 0.8937506692423708
1.0 15.0 0.02 0.8937506692423708
0.0 20.0 0.02 0.9409270607159735
0.1111111111111111 20.0 0.02 0.9409270607159735
0.2222222222222222 20.0 0.02 0.9409270607159735
0.3333333333333333 20.0 0.02 0.9409270607159735
0.4444444444444444 20.0 0.02 0.9409270607159735
0.5555555555555556 20.0 0.02 0.9409270607159735
0.6666666666666666 20.0 0.02 0.9409270607159735
0.7777777777777777 20.0 0.02 0.9409270607159735
0.8888888888888888 20.0 0.02 0.9409270607159735
1.0 20.0 0.02 0.9409270607159735
0.0 25.0 0.02 0.9707474848501773
0.1111111111111111 25.0 0.02 0.9707474848501773
0.2222222222222222 25.0 0.02 0.9707474848501773
0.3333333333333333 25.0 0.02 0.9707474848501773
0.4444444444444444 25.0 0.02 0.9707474848501773
0.5555555555555556 25.0 0.02 0.9707474848501773
0.6666666666666666 25.0 0.02 0.9707474848501773
0.7777777777777777 25.0 0.02 0.9707474848501773
0.8888888888888888 25.0 0.02 0.9707474848501773
1.0 25.0 0.02 0.9707474848501773
0.0 30.0 0.02 0.9899792297412168
0.1111111111111111 30.0 0.02 0.9899792297412168
0.2222222222222222 30.0 0.02 0.9899792297412168
0.3333333333333333 30.0 0.02 0.9899792297412168
0.4444444444444444 30.0 0.02 0.9899792297412168
0.5555555555555556 30.0 0.02 0.9899792297412168
0.6666666666666666 30.0 0.02 0.9899792297412168
0.7777777777777777 30.0 0.02 0.9899792297412168
0.8888888888888888 30.0 0.02 0.9899792297412168
1.0 30.0 0.02 0.9899792297412168
0.0 35.0 0.02 1.0028311874993092
0.1111111111111111 35.0 0.02 1.0028311874993092
0.2222222222222222 35.0 0.02 1.0028311874993092
0.3333333333333333 35.0 0.02 1.0028311874993092
0.4444444444444444 35.0 0.02 1.0028311874993092
0.5555555555555556 35.0 0.02 1.0028311874993092
0.6666666666666666 35.0 0.02 1.0028311874993092
0.7777777777777777 35.0 0.02 1.0028311874993092
0.8888888888888888 35.0 0.02 1.0028311874993092
1.0 35.0 0.02 1.0028311874993092
0.0 40.0 0.02 1.0118082193468838
0.1111111111111111 40.0 0.02 1.0118082193468838
0.2222222222222222 40.0 0.02 1.0118082193468838
0.3333333333333333 40.0 0.02 1.0118082193468838
0.4444444444444444 40.0 0.02 1.0118082193468838
0.5555555555555556 40.0 0.02 1.0118082193468838
0.6666666666666666 40.0 0.02 1.0118082193468838
0.7777777777777777 40.0 0.02 1.0118082193468838
0.8888888888888888 40.0 0.02 1.0118082193468838
1.0 40.0 0.02 1.0118082193468838
0.0 45.0 0.02 1.0183787290408155
0.1111111111111111 45.0 0.02 1.0183787290408155
0.2222222222222222 45.0 0.02 1.0183787290408155
0.3333333333333333 45.0 0.02 1.0183787290408155
0.4444444444444444 45.0 0.02 1.0183787290408155
0.5555555555555556 45.0 0.02 1.0183787290408155
0.6666666666666666 45.0 0.02 1.0183787290408155
0.7777777777777777 45.0 0.02 1.0183787290408155
0.8888888888888888 45.0 0.02 1.0183787290408155
1.0 45.0 0.02 1.0183787290408155
