x y0 y1 y2 y3 y4 y5
0.0 0.0 0.3448275862068966 0.6896551724137931 1.0344827586206897 1.3793103448275863 1.7241379310344829
0.02 0.0 0.19125666138916472 0.43534966087103455 0.7122305117220225 1.0029753522369744 1.3022431662188838
0.04 0.0 0.10036378972776433 0.2504356703353707 0.45278144261773706 0.6862029000044059 0.9371806206972063
0.06 0.0 0.0515242344407016 0.13400067633030438 0.2622892697845236 0.4326955484248736 0.6322273845381573
0.08 0.0 0.026277515383749773 0.06926040942052901 0.1409409520605053 0.24864335483954642 0.3916299483944342
0.1 0.0 0.013377772280519094 0.03539106676645559 0.07296476777054409 0.13295736040494344 0.22134439650500315
0.12 0.0 0.006807393162156967 0.018026652067535873 0.03730149023120912 0.06870496279892353 0.11726002592132378
0.14 0.0 0.0034635806412322587 0.009174236712801537 0.01900213322269112 0.03510483543167306 0.06039064533667032
0.16 0.0 0.0017622038910239885 0.004667984513048789 0.009671003172273818 0.017880530764243792 0.03082694919650544
0.18 0.0 0.0008965685128128541 0.002375002888270272 0.0049207885285919295 0.009099828209948575 0.015697579743573477
0.2 0.0 0.00045615232893296223 0.0012083492423713036 0.0025036314495441693 0.004630118642665362 0.007988338413513898
0.22 0.0 0.00023207912282218184 0.0006147791758050759 0.0012737933556041137 0.0023557365247937733 0.004064506771784614
0.24 0.0 0.0001180761518675218 0.00031278462244165543 0.0006480756705054902 0.0011985468405661575 0.0020679522072306073
0.26 0.0 6.0074240897378964e-05 0.00015913713226339978 0.0003297250780004473 0.0006097919352253422 0.0010521272974789418
0.28 0.0 3.056429539976632e-05 8.09650582904793e-05 0.0001677560215722643 0.00031024723456849704 0.0005352970164113878
0.3 0.0 1.555036130374888e-05 4.11930292974379e-05 8.535013737483658e-05 0.00015784617141727966 0.0002723460191675887
0.32 0.0 7.911641127709734e-06 2.0957999549436926e-05 4.342404965793319e-05 8.030824913823815e-05 0.00013856296130860374
0.34 0.0 4.025248294927718e-06 1.0662914383845419e-05 2.2093087807435632e-05 4.085886095936316e-05 7.049742581726417e-05
0.36 0.0 2.0479472682834543e-06 5.4250284172029345e-06 1.1240419354923866e-05 2.0787982922359667e-05 3.586735542710086e-05
0.38 0.0 1.0419451686766045e-06 2.7601209449626163e-06 5.718848733778616e-06 1.0576414108114656e-05 1.8248427741771926e-05
0.4 0.0 5.301160588160089e-07 1.4042816082791073e-06 2.9096094909233417e-06 5.381019205730462e-06 9.284350931129648e-06
0.42 0.0 2.6971000419469747e-07 7.144639219306018e-07 1.4803377014468068e-06 2.7377301412614376e-06 4.723649259690839e-06
0.44 0.0 1.3722181238040455e-07 3.6350166001627217e-07 7.531593903403294e-07 1.3928897184092194e-06 2.4032764910321393e-06
0.46 0.0 6.981508101334352e-08 1.84940698583482e-07 3.831889620203384e-07 7.086680087272347e-07 1.2227279323102324e-06
0.48 0.0 3.552019502109193e-08 9.409327591794819e-08 1.9495711332473512e-07 3.6055284201991604e-07 6.220938797615106e-07
0.5 0.0 1.8071801049622192e-08 4.787234308501567e-08 9.918938122725069e-08 1.8344041255943098e-07 3.1650605585261696e-07
0.52 0.0 9.194487614248627e-09 2.4356269989450784e-08 5.046511604763465e-08 9.332996731201058e-08 1.610304917800473e-07
0.54 0.0 4.677929015289749e-09 1.2391870745610193e-08 2.5675409062855845e-08 4.7483990451878995e-08 8.192835114345163e-08
0.56 0.0 2.3800151558394368e-09 6.304678862667357e-09 1.3063016241213564e-08 2.415868572734368e-08 4.168312874715002e-08
0.58 0.0 1.21089313743564e-09 3.207665442721439e-09 6.64614117346526e-09 1.2291344735738467e-08 2.1207350055284856e-08
0.6 0.0 6.160726273911369e-10 1.6319812343425602e-09 3.3813930628265556e-09 6.25353370286079e-09 1.0789777780252183e-08
0.62 0.0 3.1344259083373634e-10 8.303118878216375e-10 1.7203695718925012e-09 3.1816440441303944e-09 5.48957339053363e-09
0.64 0.0 1.5947187617246586e-10 4.224422539611258e-10 8.752816986675769e-10 1.6187421871444511e-09 2.792959838821681e-09
0.66 0.0 8.113536588094417e-11 2.1492822221291794e-10 4.453217869807047e-10 8.2357618642955e-10 1.4209892292764392e-09
