x y_gt y_nn y_rg
0.0 -0.00602600755245139 1.3877787807814457e-16 0.0
2.6360338573155984 -0.33869643171159314 -0.20641194531680604 -0.22299229370554727
4.64328899637243 -0.534189978771195 -0.3618500379127883 -0.37412857137596156
6.626360338573161 -0.7057245258869963 -0.5243625110738073 -0.5209800628527892
8.657799274486097 -0.8532130548993946 -0.7100374321212899 -0.6736494946483889
10.616686819830718 -0.9887945990728941 -0.9189197500187959 -0.8258102890100598
12.648125755743651 -1.1482771310837931 -1.1828338282293696 -0.9914151709377174
14.631197097944376 -1.3677876901935975 -1.5108079294835761 -1.1637983320306502
16.590084643288996 -1.6592912733476068 -1.9394125952638595 -1.3483126429276284
18.66989117291415 -2.256496902697382 -3.014555867166198 -1.5481025310176346
