x y_nn y_rg
0.008061265618701796 -0.0019815575265665717 -0.002343234699392171
0.13440926551999244 -0.03293756997644143 -0.03870857572143247
0.2607572654212831 -0.06375010492333896 -0.07444224425025368
0.3871052653225737 -0.09448115765571709 -0.10960799132343772
0.5134532652238644 -0.12518792943830828 -0.144263423812804
0.639801265125155 -0.15592485538082174 -0.17846088848575312
0.7661492650264456 -0.18674451811230722 -0.2122482097922131
0.8924972649277362 -0.2176971650187078 -0.2456693066741447
1.018845264829027 -0.24883182896870346 -0.27876472416787595
1.1451932647303176 -0.2801964690895695 -0.31157208377676415
1.2715412646316082 -0.31183880302030237 -0.34412647429463555
1.3978892645328989 -0.3438068345208474 -0.37646078986615794
1.5242372644341895 -0.37614899676431407 -0.40860602238016214
1.6505852643354801 -0.40891438359425725 -0.440591518133117
1.7769332642367706 -0.4421532236821336 -0.4724452058788805
1.9032812641380614 -0.47591728486253254 -0.504193798663351
2.029629264039352 -0.5102602985495794 -0.5358629753498659
2.1559772639406427 -0.5452382763775041 -0.5674775434252477
2.2823252638419333 -0.5809097471013513 -0.5990615863343379
2.408673263743224 -0.6173361816460028 -0.6306385993594572
2.5350212636445146 -0.6545825141385873 -0.6622316146427307
2.6613692635458053 -0.6927176222149906 -0.6938633178513873
2.787717263447096 -0.7318147520470449 -0.7255561572544729
2.9140652633483866 -0.7719520438590589 -0.7573324470722823
3.040413263249677 -0.8132130287061868 -0.7892144664325116
3.166761263150968 -0.8556873873150714 -0.8212245549976341
3.2931092630522585 -0.8994717220848003 -0.853385206219329
3.419457262953549 -0.944670285776568 -0.8857191584247459
3.5458052628548393 -0.9913957742569084 -0.9182494850700356
3.6721532627561304 -1.0397703165696661 -0.950999686050203
3.798501262657421 -1.0899264657595167 -0.9839937787493882
3.9248492625587117 -1.1420085326854372 -1.0172563919810453
4.051197262460002 -1.1961737831336403 -1.0508128611031908
4.177545262361293 -1.2525937006393604 -1.0846893257715382
4.303893262262584 -1.3114555481267234 -1.1189128332585123
4.430241262163874 -1.372963875980415 -1.1535114451272246
4.556589262065165 -1.4373424672928414 -1.1885143509028402
4.6829372619664555 -1.504836245596696 -1.223951987503712
4.809285261867746 -1.5757131200086458 -1.2598561649648845
4.935633261769037 -1.6502660503935387 -1.2962602015258136
5.0619812616703275 -1.7288155251828796 -1.3331990701424055
5.188329261571618 -1.8117118818158777 -1.3707095538013883
5.314677261472909 -1.8993382413158255 -1.4088304159882479
5.441025261374199 -1.9921130928854522 -1.447602582280314
5.56737326127549 -2.0904929839816826 -1.487069337255341
5.693721261176781 -2.1949761554136735 -1.5272765438263054
5.820069261078071 -2.3061057394637907 -1.5682728779918262
5.946417260979362 -2.4244741717859055 -1.6101100912256958
6.072765260880653 -2.5169404678731717 -1.6528941805291375
6.199113260781943 -2.7808832973974944 -1.687744342247426
