x y_gt
0.03761923955394369 -0.0715869392993953
0.15316404675534104 -0.2562467254885256
0.3197635362085184 -0.4823344071615948
0.49173720274083027 -0.6603880647342595
0.6126561870213622 -0.7730258208259838
0.784629853553675 -0.927091472401647
0.921671369071611 -1.0455521936734173
1.0775225043665189 -1.181800877070534
1.176944780330512 -1.2706826755908625
1.313986295848448 -1.3831463953633825
1.4725245196829235 -1.5373570772050493
1.5853822383447536 -1.6620758544548766
1.735859196560527 -1.8643495664501493
1.8729007120784629 -2.132735325203178
2.026064758833804 -2.598848097112266
2.184602982668279 -3.286791912387216
